# Logfile created on 2026-03-11 20:59:55 +0100 by logger.rb/v1.5.3
2026-03-11 20:59:55 +0100: Memory Usage (437736K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/dell/EAMTA2026-VLSI/design/backups/inverteee.gds
2026-03-11 20:59:55 +0100: Memory Usage (437736K) : Ruby Version for klayout: 3.2.3
2026-03-11 20:59:55 +0100: Memory Usage (438760K) : Loading database to memory is complete.
2026-03-11 20:59:55 +0100: Memory Usage (438760K) : IHP-SG13G2 KLayout DRC runset output at: /home/dell/EAMTA2026-VLSI/design/drc_run_inverter/inverteee_inverter_main.lyrdb
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : Evaluate switches.
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : tables selected: main
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : deep mode is enabled.
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : FEOL enabled: true
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : BEOL enabled: true
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : OFFGRID enabled: true
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : PIN enabled: true
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : FORBIDDEN enabled: true
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : RECOMMENDED enabled: true
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : PreCheck DRC enabled: false
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : CONNECTIVITY_RULES enabled: true.
2026-03-11 20:59:55 +0100: Memory Usage (438888K) : Read in polygons from layers.
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : activ_drw has 8 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : activ_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : activ_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : activ_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : activ_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : activ_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : activ_iopc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : activ_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : biwind_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : biwind_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : pemwind_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : gatpoly_drw has 4 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : gatpoly_pin has 2 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : gatpoly_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : gatpoly_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : gatpoly_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : gatpoly_iopc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : gatpoly_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : cont_drw has 7 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : cont_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : nsd_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : nsd_block has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (439912K) : metal1_drw has 8 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440040K) : metal1_pin has 6 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440040K) : metal1_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440040K) : metal1_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440040K) : metal1_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440040K) : metal1_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440424K) : metal1_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440424K) : metal1_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440424K) : metal1_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440424K) : metal1_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440424K) : metal1_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440424K) : metal1_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440552K) : passiv_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440552K) : passiv_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440680K) : passiv_sbump has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440680K) : passiv_pillar has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440680K) : passiv_pdl has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440808K) : metal2_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440808K) : metal2_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440936K) : metal2_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (440936K) : metal2_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441064K) : metal2_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441064K) : metal2_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441192K) : metal2_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441192K) : metal2_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441192K) : metal2_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441320K) : metal2_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441448K) : metal2_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441448K) : metal2_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441576K) : baspoly_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441576K) : baspoly_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441576K) : psd_drw has 2 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441704K) : nldb_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441704K) : digibnd_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441832K) : via1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441832K) : backmetal1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441960K) : backmetal1_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441960K) : backmetal1_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441960K) : backmetal1_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442088K) : backmetal1_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442088K) : backmetal1_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442216K) : backmetal1_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442216K) : backmetal1_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442216K) : backmetal1_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442344K) : backmetal1_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442344K) : backmetal1_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442472K) : backmetal1_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442472K) : backpassiv_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442600K) : res_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442600K) : sram_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442728K) : trans_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442728K) : ind_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442856K) : ind_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442856K) : ind_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442984K) : salblock_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442984K) : via2_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443112K) : metal3_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443112K) : metal3_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443240K) : metal3_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443240K) : metal3_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443368K) : metal3_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443368K) : metal3_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443496K) : metal3_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443496K) : metal3_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443624K) : metal3_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443624K) : metal3_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443624K) : metal3_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443752K) : metal3_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443880K) : nwell_drw has 3 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443880K) : nwell_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444008K) : nbulay_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444008K) : nbulay_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444008K) : nbulay_block has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444136K) : emwind_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444264K) : emwind_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444264K) : deepco_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444392K) : deepco_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444392K) : mim_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444520K) : edgeseal_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444520K) : edgeseal_bound has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444648K) : substrate_drw has 1 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444648K) : substrate_text has 0 polygons
